start_block,end_block,heuristic_count,total_transactions,avg_per_block,avg_tx_per_block,normalized_ratio
575152,576159,0,2440574,0.0,2421.2043650793653,0.0
576160,577167,0,2419569,0.0,2400.366071428572,0.0
577168,578175,0,2391601,0.0,2372.62003968254,0.0
578176,579183,0,2389412,0.0,2370.4484126984125,0.0
579184,580191,0,2291338,0.0,2273.152777777778,0.0
580192,581199,0,2364407,0.0,2345.6418650793653,0.0
581200,582207,0,2344890,0.0,2326.279761904762,0.0
582208,583215,0,2357051,0.0,2338.344246031746,0.0
583216,584223,0,2213346,0.0,2195.779761904762,0.0
520720,521727,0,1408409,0.0,1397.2311507936508,0.0
585232,586239,0,2310228,0.0,2291.8928571428573,0.0
586240,587247,0,2064473,0.0,2048.0882936507937,0.0
523744,524751,0,1172689,0.0,1163.3819444444443,0.0
588256,589263,0,2181002,0.0,2163.69246031746,0.0
589264,590271,0,2202114,0.0,2184.6369047619046,0.0
590272,591279,0,2225589,0.0,2207.9255952380954,0.0
591280,592287,0,2151924,0.0,2134.845238095238,0.0
592288,593295,0,2197940,0.0,2180.496031746032,0.0
593296,594303,0,2023154,0.0,2007.0972222222224,0.0
594304,595311,0,2040280,0.0,2024.0873015873017,0.0
595312,596319,0,2210996,0.0,2193.4484126984125,0.0
596320,597327,0,2196512,0.0,2179.0793650793653,0.0
597328,598335,0,2172835,0.0,2155.590277777778,0.0
598336,599343,0,2157237,0.0,2140.116071428572,0.0
599344,600351,0,2224265,0.0,2206.612103174604,0.0
600352,601359,0,2202284,0.0,2184.805555555556,0.0
601360,602367,0,2299923,0.0,2281.6696428571427,0.0
602368,603375,0,2232925,0.0,2215.203373015873,0.0
603376,604383,0,2062317,0.0,2045.9494047619048,0.0
604384,605391,0,2197123,0.0,2179.685515873016,0.0
605392,606399,0,2212698,0.0,2195.1369047619046,0.0
606400,607407,0,2045048,0.0,2028.81746031746,0.0
607408,608415,0,2164043,0.0,2146.868055555556,0.0
609424,610431,0,2027943,0.0,2011.8482142857144,0.0
610432,611439,0,1834916,0.0,1820.3531746031747,0.0
611440,612447,0,2090484,0.0,2073.8928571428573,0.0
612448,613455,0,2116743,0.0,2099.9434523809523,0.0
613456,614463,0,2041225,0.0,2025.0248015873017,0.0
614464,615471,0,2124711,0.0,2107.848214285714,0.0
615472,616479,0,2270354,0.0,2252.3353174603176,0.0
616480,617487,0,2373569,0.0,2354.7311507936506,0.0
617488,618495,0,2253458,0.0,2235.5734126984125,0.0
618496,619503,0,2272587,0.0,2254.5505952380954,0.0
619504,620511,0,2164668,0.0,2147.4880952380954,0.0
620512,621519,0,2241331,0.0,2223.5426587301586,0.0
621520,622527,0,2200648,0.0,2183.18253968254,0.0
622528,623535,0,1935835,0.0,1920.47123015873,0.0
623536,624543,0,1833163,0.0,1818.6140873015872,0.0
624544,625551,0,1817742,0.0,1803.315476190476,0.0
625552,626559,0,1867037,0.0,1852.219246031746,0.0
626560,627567,0,2063527,0.0,2047.1498015873017,0.0
627568,628575,0,2176637,0.0,2159.362103174604,0.0
628576,629583,0,2120873,0.0,2104.0406746031745,0.0
629584,630591,0,2222366,0.0,2204.7281746031745,0.0
630592,631599,0,2291734,0.0,2273.5456349206347,0.0
631600,632607,0,2105042,0.0,2088.3353174603176,0.0
632608,633615,0,1942731,0.0,1927.3125,0.0
633616,634623,0,1929080,0.0,1913.7698412698408,0.0
634624,635631,0,2171312,0.0,2154.0793650793653,0.0
635632,636639,0,2108132,0.0,2091.4007936507937,0.0
636640,637647,0,2057331,0.0,2041.002976190476,0.0
637648,638655,0,2117842,0.0,2101.03373015873,0.0
638656,639663,0,2245009,0.0,2227.191468253968,0.0
