start_block,end_block,total_transactions,blocks_in_period,avg_tx_per_block
482416,483423,1576270,1008,1563.7599206349207
483424,484431,1530740,1008,1518.5912698412699
484432,485439,1453448,1008,1441.9126984126983
485440,486447,1554738,1008,1542.3988095238096
486448,487455,1620148,1008,1607.2896825396826
487456,488463,1714128,1008,1700.5238095238096
488464,489471,1726606,1008,1712.9027777777778
489472,490479,1935492,1008,1920.1309523809523
490480,491487,1904841,1008,1889.7232142857142
491488,492495,1985860,1008,1970.0992063492063
492496,493503,2184505,1008,2167.1676587301586
493504,494511,2222865,1008,2205.223214285714
494512,495519,1947879,1008,1932.419642857143
495520,496527,2193884,1008,2176.472222222222
496528,497535,2193791,1008,2176.3799603174602
497536,498543,2384435,1008,2365.5109126984125
498544,499551,2351741,1008,2333.0763888888887
499552,500559,2403160,1008,2384.0873015873017
500560,501567,1975752,1008,1960.0714285714287
501568,502575,2123736,1008,2106.8809523809523
502576,503583,2229553,1008,2211.8581349206347
503584,504591,1769376,1008,1755.3333333333333
504592,505599,1509699,1008,1497.717261904762
505600,506607,1426055,1008,1414.7371031746031
506608,507615,1431340,1008,1419.9801587301588
507616,508623,1305177,1008,1294.8184523809523
508624,509631,1167910,1008,1158.640873015873
509632,510639,1210889,1008,1201.2787698412699
510640,511647,1221789,1008,1212.092261904762
511648,512655,1239324,1008,1229.4880952380952
512656,513663,1228592,1008,1218.8412698412699
513664,514671,1235196,1008,1225.392857142857
514672,515679,1209917,1008,1200.314484126984
515680,516687,1151045,1008,1141.9097222222222
516688,517695,1066769,1008,1058.3025793650793
517696,518703,1272876,1008,1262.7738095238096
518704,519711,1301035,1008,1290.7093253968253
519712,520719,1488476,1008,1476.6626984126983
520720,521727,1408409,1008,1397.2311507936508
521728,522735,1364618,1008,1353.7876984126983
522736,523743,1315790,1008,1305.3472222222222
523744,524751,1172689,1008,1163.3819444444443
524752,525759,1224873,1008,1215.1517857142858
525760,526767,1295028,1008,1284.75
526768,527775,1387467,1008,1376.455357142857
527776,528783,1186279,1008,1176.8640873015872
528784,529791,1233833,1008,1224.0406746031747
529792,530799,1389305,1008,1378.2787698412699
530800,531807,1351427,1008,1340.701388888889
531808,532815,1393209,1008,1382.1517857142858
532816,533823,1386081,1008,1375.080357142857
533824,534831,1414284,1008,1403.0595238095239
534832,535839,1393740,1008,1382.6785714285713
535840,536847,1375533,1008,1364.6160714285713
536848,537855,1412785,1008,1401.5724206349207
537856,538863,1333932,1008,1323.345238095238
538864,539871,1530979,1008,1518.828373015873
539872,540879,1576659,1008,1564.1458333333333
540880,541887,1568447,1008,1555.999007936508
541888,542895,1619489,1008,1606.6359126984128
542896,543903,1549274,1008,1536.9781746031747
543904,544911,1716156,1008,1702.5357142857142
544912,545919,1715365,1008,1701.750992063492
545920,546927,1752294,1008,1738.3869047619048
546928,547935,1802898,1008,1788.5892857142858
547936,548943,1862393,1008,1847.6121031746031
548944,549951,2140980,1008,2123.9880952380954
549952,550959,2141221,1008,2124.2271825396824
550960,551967,2132200,1008,2115.277777777778
551968,552975,2088911,1008,2072.3323412698414
552976,553983,1963348,1008,1947.765873015873
553984,554991,1944140,1008,1928.7103174603174
554992,555999,1716293,1008,1702.671626984127
556000,557007,1747384,1008,1733.515873015873
557008,558015,1910734,1008,1895.5694444444443
558016,559023,2205516,1008,2188.0119047619046
559024,560031,2074351,1008,2057.8878968253966
560032,561039,2178791,1008,2161.499007936508
561040,562047,2205180,1008,2187.6785714285716
562048,563055,2207275,1008,2189.7569444444443
563056,564063,2292756,1008,2274.559523809524
564064,565071,2352729,1008,2334.0565476190477
565072,566079,2217650,1008,2200.0496031746034
566080,567087,1947352,1008,1931.8968253968253
567088,568095,1788877,1008,1774.6795634920634
568096,569103,2106213,1008,2089.497023809524
569104,570111,2656041,1008,2634.9613095238096
570112,571119,2571824,1008,2551.4126984126983
571120,572127,2618693,1008,2597.909722222222
572128,573135,2517055,1008,2497.0783730158732
573136,574143,2496518,1008,2476.7043650793653
574144,575151,2569374,1008,2548.9821428571427
575152,576159,2440574,1008,2421.2043650793653
576160,577167,2419569,1008,2400.3660714285716
577168,578175,2391601,1008,2372.6200396825398
578176,579183,2389412,1008,2370.4484126984125
579184,580191,2291338,1008,2273.152777777778
580192,581199,2364407,1008,2345.6418650793653
581200,582207,2344890,1008,2326.279761904762
582208,583215,2357051,1008,2338.344246031746
583216,584223,2213346,1008,2195.779761904762
584224,585231,2275295,1008,2257.2371031746034
585232,586239,2310228,1008,2291.8928571428573
